sample_id,split,scenario_instance_id,scenario_type,timestamp_s,window_duration_s,boundary_case,gps_valid,gps_speed_kmh,imu_valid,pitch_abs_deg,roll_abs_deg,roll_error_deg,outward_rate_deg_s,imu_attention_duration_ms,imu_urgent_consistent_samples,acc_norm_mean_mps2,acc_delta_signed_mps2,acc_change_abs_mps2,jerk_abs_mps3,radar_valid,radar_target_count,radar_path_target_count,radar_min_distance_m,radar_relative_speed_mps,radar_closing_speed_mps,radar_ttc_s,vision_valid,object_count,path_object_count,max_path_bottom_ratio,box_growth_rate_per_s,growth_duration_s,visual_tau_s,vision_confidence,imu_rule_score,motion_rule_score,radar_rule_score,vision_rule_score,rule_score,risk_label,risk_label_name,hard_rule_triggered,trigger_reason
tra-00011,train,tra-0-00798,normal_straight,1763.384,1.0,0,0,,1,1.4568,0.7591,2.0251,1.2512,78.8,1,9.8582,0.6257,0.6257,1.6246,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.105912,0.145997,0.0,0.0,0.145997,0,低,0,motion
tra-00012,train,tra-1-00028,radar_attention,1165.855,1.0,0,0,,1,0.2915,3.6807,0.0782,2.6131,118.86,1,9.8789,-0.5121,0.5121,3.0187,1,4,1,2.8146,-0.8751,0.8751,3.2163,1,0,0,0.0,0.0,0.0,,0.0,0.075904,0.211309,0.532973,0.0,0.532973,1,中,0,radar
tra-00013,train,tra-1-01484,vision_path_near,648.787,1.0,0,1,7.2785,1,3.8938,6.7422,4.4374,0.2306,49.78,1,9.7398,0.2275,0.2275,0.6468,1,0,0,,0.0,0.0,,1,1,1,0.7982,0.0,0.0,,0.8126,0.161766,0.053083,0.0,0.663667,0.663667,1,中,0,vision
tra-00014,train,tra-0-00787,visual_path_candidate,810.664,1.0,0,1,19.9816,1,1.8676,1.4078,3.9774,2.0684,23.01,0,9.7637,-0.4324,0.4324,0.1087,1,0,0,,0.0,0.0,,1,4,2,0.514,0.0,0.0,,0.6375,0.197124,0.100893,0.0,0.19,0.197124,0,低,0,imu
tra-00015,train,tra-1-00898,vision_path_near,1476.405,1.0,0,1,10.095,1,0.3652,4.1595,4.4117,1.5694,50.54,0,9.8374,-0.5568,0.5568,0.8019,1,0,0,,0.0,0.0,,1,3,1,0.7666,0.0,0.0,,0.9485,0.198353,0.12992,0.0,0.611,0.611,1,中,0,vision
tra-00016,train,tra-2-00168,radar_urgent,146.239,1.0,0,1,11.4668,1,3.5178,3.7346,3.6811,2.5248,51.4,1,10.0394,-0.3116,0.3116,3.3991,1,4,1,2.2991,-1.922,1.922,1.1962,1,0,0,0.0,0.0,0.0,,0.0,0.199533,0.237937,0.856483,0.0,0.856483,2,高,1,radar
tra-00017,train,tra-2-01277,radar_urgent,909.508,1.0,1,0,,1,3.9931,0.8703,4.315,2.4995,99.1,1,9.8074,0.5787,0.5787,3.762,1,1,1,6.7559,-2.7472,2.7472,2.4592,1,0,0,0.0,0.0,0.0,,0.0,0.221011,0.26334,0.704951,0.0,0.704951,2,高,1,radar
tra-00018,train,tra-2-00419,predicted_lateral_instability,380.296,1.0,0,1,12.1413,1,2.5156,15.1572,12.9621,25.3647,562.3233,3,9.8803,0.6985,0.6985,0.2456,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.822028,0.162983,0.0,0.0,0.822028,2,高,1,imu
tra-00019,train,tra-2-01311,vision_looming_urgent,1680.759,1.0,0,0,,1,0.1259,1.6221,0.3762,2.6859,78.53,0,9.7852,-0.0031,0.0031,1.1731,1,0,0,,0.0,0.0,,1,5,3,0.6347,0.5726,0.6346,1.5699,0.6457,0.088372,0.082117,0.0,0.811612,0.811612,2,高,1,vision
tra-00020,train,tra-1-00847,radar_attention,1427.955,1.0,1,0,,1,2.0361,3.9609,4.2626,2.1771,11.2,1,9.9405,-0.7044,0.7044,1.2957,1,3,1,7.6302,-1.918,1.918,3.9782,1,0,0,0.0,0.0,0.0,,0.0,0.21015,0.16436,0.355196,0.0,0.355196,1,中,0,radar
tra-00021,train,tra-2-00134,vision_looming_urgent,12.276,1.0,0,0,,1,1.8403,1.6639,4.3873,0.2791,38.96,1,10.0007,-0.6691,0.6691,2.002,1,0,0,,0.0,0.0,,1,2,1,0.8168,0.4865,0.4247,1.9501,0.7348,0.16137,0.156123,0.0,0.765988,0.765988,2,高,1,vision
tra-00022,train,tra-0-02050,visual_path_candidate,1473.3,1.0,0,1,15.5684,1,1.5783,2.7079,0.6085,0.5224,31.61,0,9.6706,0.6005,0.6005,1.8028,1,0,0,,0.0,0.0,,1,2,2,0.4254,0.0,0.0,,0.6237,0.035925,0.140117,0.0,0.042333,0.140117,0,低,0,motion
tra-00023,train,tra-1-01361,sustained_outward_lean,595.358,1.0,0,0,,1,1.4748,17.6322,14.823,8.8517,512.8656,1,9.7294,0.5146,0.5146,0.7696,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.627768,0.120073,0.0,0.0,0.627768,1,中,0,imu
tra-00024,train,tra-0-00287,sensor_gap,1017.024,1.0,0,1,21.6249,1,1.1812,2.2617,0.7834,1.3376,74.38,1,9.7667,0.4425,0.4425,1.0986,1,0,0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,,0.0,0.064872,0.10325,0.0,0.0,0.10325,0,低,0,motion
tra-00025,train,tra-1-01114,radar_attention,756.483,1.0,0,0,,1,1.5178,6.9396,3.9618,0.0647,10.75,1,9.824,0.8873,0.8873,3.2344,1,1,1,11.0947,-3.0963,3.0963,3.5832,1,0,0,0.0,0.0,0.0,,0.0,0.140475,0.226408,0.447363,0.0,0.447363,1,中,0,radar
tra-00026,train,tra-0-01203,distant_obstacle_off_path,1533.546,1.0,0,1,7.9661,1,0.1134,2.4919,0.7374,0.4196,67.07,0,10.0424,-0.069,0.069,0.5511,1,4,0,11.0263,-1.7553,1.7553,6.2817,1,5,0,0.0,0.0,0.0,,0.8751,0.037558,0.038577,0.222896,0.0,0.222896,0,低,0,radar
tra-00027,train,tra-2-00360,radar_urgent,1053.012,1.0,0,1,14.255,1,3.9593,0.8028,3.9024,0.271,53.86,1,9.6863,0.3114,0.3114,3.442,1,4,1,2.681,-2.2926,2.2926,1.1694,1,0,0,0.0,0.0,0.0,,0.0,0.144172,0.24094,0.859698,0.0,0.859698,2,高,1,radar
tra-00028,train,tra-1-00540,vision_looming_attention,1737.589,1.0,1,0,,1,3.2578,1.8204,2.1014,1.9624,24.13,1,9.6798,0.3482,0.3482,0.2949,1,0,0,,0.0,0.0,,1,2,1,0.5367,0.2544,0.417,3.9944,0.7817,0.128496,0.081247,0.0,0.351307,0.351307,1,中,0,vision
tra-00029,train,tra-1-01563,sustained_outward_lean,1514.838,1.0,0,1,21.4206,1,2.7187,12.6654,11.2357,6.2351,475.5683,1,9.559,0.1471,0.1471,3.4249,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.495222,0.239743,0.0,0.0,0.495222,1,中,0,imu
tra-00030,train,tra-0-01955,normal_straight,499.964,1.0,0,1,5.7453,1,1.5077,3.4247,0.6588,1.6551,41.16,0,10.0218,-0.1701,0.1701,1.9463,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.069401,0.136241,0.0,0.0,0.136241,0,低,0,motion
tra-00031,train,tra-0-01833,normal_turn,1265.317,1.0,0,1,11.4271,1,3.0004,14.4893,3.9975,2.7458,37.34,0,9.5747,0.4023,0.4023,0.5111,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.216795,0.09387,0.0,0.0,0.216795,0,低,0,imu
tra-00032,train,tra-1-00468,radar_attention,1563.562,1.0,0,1,12.1454,1,0.2946,6.4519,2.1614,2.6974,118.81,1,9.7936,0.037,0.037,1.5663,1,2,1,4.1558,-1.413,1.413,2.9411,1,0,0,0.0,0.0,0.0,,0.0,0.151176,0.109641,0.597186,0.0,0.597186,1,中,0,radar
tra-00033,train,tra-0-01645,distant_obstacle_off_path,211.536,1.0,0,1,10.9512,1,3.4914,5.8695,3.6464,2.6496,38.73,0,9.9744,0.2392,0.2392,0.8433,1,3,0,9.963,-0.8574,0.8574,11.62,1,3,0,0.0,0.0,0.0,,0.7195,0.201813,0.059031,0.120496,0.0,0.201813,0,低,0,imu
tra-00034,train,tra-1-01290,moderate_acc_change,0.133,1.0,0,1,5.5078,1,3.7155,3.3304,2.1923,2.305,15.34,1,9.9228,-4.3472,4.3472,6.6178,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.141271,0.63472,0.0,0.0,0.63472,1,中,0,motion
tra-00035,train,tra-1-00023,moderate_acc_change,1226.91,1.0,0,1,7.3509,1,3.4453,6.3723,0.0912,1.1611,92.07,0,9.8003,2.5959,2.5959,8.281,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.035703,0.57967,0.0,0.0,0.57967,1,中,0,motion
tra-00036,train,tra-1-00308,vision_looming_attention,967.563,1.0,0,1,20.8772,1,3.8767,1.3254,1.1455,1.7947,110.65,0,9.7099,0.7753,0.7753,2.7089,1,0,0,,0.0,0.0,,1,5,1,0.4653,0.3572,0.7105,3.1717,0.6283,0.090344,0.189623,0.0,0.54327,0.54327,1,中,0,vision
tra-00037,train,tra-0-01620,sensor_gap,742.925,1.0,0,1,22.4317,0,3.056,3.1858,2.3777,2.6021,10.98,1,9.7145,0.3017,0.3017,2.0013,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,低,0,imu+motion+radar+vision
tra-00038,train,tra-2-00697,severe_acc_change,1233.049,1.0,0,0,,1,3.766,4.1967,2.1908,2.959,2.69,0,9.7854,-8.1062,8.1062,16.4818,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.15953,0.894454,0.0,0.0,0.894454,2,高,1,motion
tra-00039,train,tra-2-00963,vision_looming_urgent,1748.153,1.0,0,1,20.4138,1,2.7006,1.1317,0.3344,2.1159,103.46,0,9.9932,0.4033,0.4033,2.6232,1,0,0,,0.0,0.0,,1,1,1,0.8615,1.308,0.2312,0.5707,0.9318,0.070949,0.183624,0.0,0.931516,0.931516,2,高,1,vision
tra-00040,train,tra-1-00759,moderate_acc_change,817.379,1.0,0,1,22.1963,1,2.5816,0.9616,4.4599,0.546,56.92,0,9.6369,3.4087,3.4087,5.9928,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.171384,0.54087,0.0,0.0,0.54087,1,中,0,motion
tra-00041,train,tra-2-01285,multisensor_high,1688.474,1.0,0,0,,1,2.1448,4.4179,1.9358,2.8223,90.32,1,9.6145,2.191,2.191,13.2523,1,4,1,2.5703,-1.3673,1.3673,1.8798,1,2,1,0.9039,0.6154,0.3638,1.6712,0.7093,0.146777,0.797569,0.774466,0.799456,0.799456,2,高,1,vision
tra-00042,train,tra-1-00093,vision_looming_attention,485.609,1.0,0,1,21.6434,1,0.0721,3.5406,2.0384,2.4515,59.16,0,10.0432,-0.8734,0.8734,2.0033,1,0,0,,0.0,0.0,,1,2,1,0.4557,0.3205,0.6051,3.3086,0.6271,0.139986,0.203793,0.0,0.511327,0.511327,1,中,0,vision
tra-00043,train,tra-0-00466,sensor_gap,359.443,1.0,1,0,,0,3.5594,5.6171,1.7174,1.2146,36.02,1,9.6838,-0.2977,0.2977,2.1268,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,低,0,imu+motion+radar+vision
tra-00044,train,tra-1-00688,radar_attention,146.803,1.0,0,1,20.942,1,1.1538,4.6792,1.4813,2.158,54.77,1,9.6449,-0.7091,0.7091,0.3981,1,2,1,10.1078,-3.0921,3.0921,3.2689,1,0,0,0.0,0.0,0.0,,0.0,0.112269,0.165457,0.520699,0.0,0.520699,1,中,0,radar
tra-00045,train,tra-0-01712,normal_turn,1531.754,1.0,0,1,10.4126,1,1.0899,18.2414,3.0279,0.5068,10.72,0,10.0175,-0.7989,0.7989,2.4449,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.120167,0.18641,0.0,0.0,0.18641,0,低,0,motion
tra-00046,train,tra-0-01167,normal_straight,1274.823,1.0,0,1,7.7569,1,0.4175,4.6087,4.3114,0.4452,58.23,1,9.7642,-0.8925,0.8925,1.9694,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.163365,0.20825,0.0,0.0,0.20825,0,低,0,motion
tra-00047,train,tra-2-00157,predicted_lateral_instability,86.503,1.0,0,0,,1,3.4362,26.041600000000003,18.6473,18.0713,493.5553,3,9.7363,0.5282,0.5282,2.2035,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.7,0.154245,0.0,0.0,0.7,2,高,1,imu
tra-00048,train,tra-0-01202,sensor_gap,1552.499,1.0,0,1,18.3819,1,3.1826,5.2253,1.4239,1.365,72.52,1,9.8856,-0.5195,0.5195,0.6809,0,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.088057,0.121217,0.0,0.0,0.121217,0,低,0,motion
tra-00049,train,tra-2-00005,vision_looming_urgent,167.958,1.0,0,1,7.0098,1,1.4533,6.5844,3.2417,0.8299,59.82,1,9.9836,-0.5183,0.5183,3.7323,1,0,0,,0.0,0.0,,1,1,1,0.9362,1.3186,0.6711,0.5126,0.7954,0.136697,0.261261,0.0,0.938488,0.938488,2,高,1,vision
tra-00050,train,tra-1-00241,vision_looming_attention,662.305,1.0,0,1,12.8767,1,1.1048,4.8938,2.4351,1.952,53.52,1,9.8146,-0.8579,0.8579,0.2033,1,0,0,,0.0,0.0,,1,2,1,0.7016,0.3,0.7685,3.4803,0.6316,0.139884,0.200177,0.0,0.502667,0.502667,1,中,0,vision
tra-00051,train,tra-1-01659,sustained_outward_lean,227.746,1.0,1,1,7.9144,1,3.1412,11.459999999999999,10.2342,8.5363,157.7456,0,9.6512,-0.7857,0.7857,3.5273,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.514809,0.246911,0.0,0.0,0.514809,1,中,0,imu
tra-00052,train,tra-2-00243,predicted_lateral_instability,1259.326,1.0,0,1,4.6169,1,2.9728,15.0802,12.2494,18.3745,216.7639,3,9.8837,0.4851,0.4851,2.7118,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.739777,0.189826,0.0,0.0,0.739777,2,高,1,imu
tra-00053,train,tra-2-00477,predicted_lateral_instability,966.702,1.0,0,1,19.1003,1,0.3267,24.1922,20.5937,14.5411,788.9838,3,9.8961,-0.8846,0.8846,3.6074,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.886366,0.252518,0.0,0.0,0.886366,2,高,1,imu
tra-00054,train,tra-0-01837,normal_turn,35.894,1.0,1,1,16.7536,1,2.3348,9.976,5.7207,2.0005,15.06,1,9.6283,0.2821,0.2821,3.4793,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.256238,0.243551,0.0,0.0,0.256238,0,低,0,imu
tra-00055,train,tra-2-00003,multisensor_high,997.031,1.0,0,1,14.7186,1,3.9064,5.6719,2.4858,1.9665,49.57,0,9.6223,-0.1998,0.1998,0.8596,1,1,1,3.5923,-1.9211,1.9211,1.8699,1,1,1,0.7938,0.8564,0.3656,1.3424,0.8533,0.142065,0.060172,0.775654,0.838912,0.838912,2,高,1,vision
tra-00056,train,tra-1-00801,road_bump,1322.386,1.0,0,1,5.2858,1,3.7173,5.8602,2.1362,2.4583,35.99,1,9.6011,2.3545,2.3545,8.2001,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.143599,0.574007,0.0,0.0,0.574007,1,中,0,motion
tra-00057,train,tra-1-01117,moderate_acc_change,1281.441,1.0,0,1,8.9892,1,2.3223,5.7085,2.7882,1.1629,34.57,0,9.7102,-3.86,3.86,6.5053,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.130148,0.586,0.0,0.0,0.586,1,中,0,motion
tra-00058,train,tra-1-01231,vision_path_near,1231.335,1.0,0,1,15.2742,1,0.8609,0.6208,0.4306,2.4484,34.36,0,9.7335,0.3104,0.3104,1.5598,1,0,0,,0.0,0.0,,1,1,1,0.6906,0.0,0.0,,0.6926,0.083626,0.109186,0.0,0.484333,0.484333,1,中,0,vision
tra-00059,train,tra-0-00800,visual_path_candidate,874.254,1.0,0,1,12.0716,1,0.6221,0.8829,1.1409,0.0852,6.83,0,9.9681,-0.0825,0.0825,0.8841,1,0,0,,0.0,0.0,,1,1,1,0.4794,0.0,0.0,,0.944,0.042317,0.061887,0.0,0.132333,0.132333,0,低,0,vision
tra-00060,train,tra-1-01249,vision_path_near,1317.163,1.0,0,1,21.5663,1,1.4558,5.6078,2.9399,0.311,40.41,1,10.0293,0.4525,0.4525,2.5331,1,0,0,,0.0,0.0,,1,5,1,0.7251,0.0,0.0,,0.6955,0.111604,0.177317,0.0,0.541833,0.541833,1,中,0,vision
tra-00061,train,tra-0-01209,radar_receding,96.019,1.0,0,1,9.6296,1,0.7525,4.78,3.7203,2.5557,61.78,1,10.0189,0.491,0.491,0.4876,1,3,0,16.2375,0.3213,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.20177,0.114567,0.0,0.0,0.20177,0,低,0,imu
tra-00062,train,tra-1-00707,sustained_outward_lean,107.019,1.0,0,1,20.7561,1,0.7398,16.4464,14.4628,7.0591,259.4779,1,9.6587,0.801,0.801,0.9851,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.585902,0.1869,0.0,0.0,0.585902,1,中,0,imu
tra-00063,train,tra-0-01523,radar_receding,1114.659,1.0,0,1,19.7737,1,0.7319,0.6038,4.3643,0.6689,0.89,1,9.9489,-0.3854,0.3854,1.6515,1,1,0,1.07,2.2252,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.17148,0.115605,0.0,0.0,0.17148,0,低,0,imu
tra-00064,train,tra-0-00748,normal_straight,1536.149,1.0,0,0,,1,1.1248,5.9201,2.7215,1.6923,8.93,1,9.8612,0.2802,0.2802,3.5796,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.142637,0.250572,0.0,0.0,0.250572,0,低,0,motion
tra-00065,train,tra-1-00349,radar_attention,45.214,1.0,0,1,5.9636,1,1.2522,2.9134,0.6729,1.6316,15.62,0,9.8378,-0.6522,0.6522,0.9137,1,1,1,3.4542,-1.1302,1.1302,3.0563,1,0,0,0.0,0.0,0.0,,0.0,0.069236,0.15218,0.570306,0.0,0.570306,1,中,0,radar
tra-00066,train,tra-2-00031,predicted_lateral_instability,1576.974,1.0,0,1,9.0853,1,3.8849,23.868299999999998,21.4839,19.7553,727.1301,3,9.6701,-0.4198,0.4198,0.9867,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.933257,0.097953,0.0,0.0,0.933257,2,高,1,imu
tra-00067,train,tra-0-01499,normal_straight,693.189,1.0,1,1,16.2541,1,0.0956,1.7697,0.2292,1.4248,25.26,0,9.916,-0.6241,0.6241,1.4032,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.047916,0.145623,0.0,0.0,0.145623,0,低,0,motion
tra-00068,train,tra-1-01060,vision_looming_attention,900.622,1.0,0,1,8.4777,1,0.3735,1.2196,2.9719,2.9963,104.39,0,9.903,-0.8117,0.8117,0.1635,1,0,0,,0.0,0.0,,1,4,2,0.6028,0.2448,0.6578,3.4976,0.7437,0.187913,0.189397,0.0,0.467227,0.467227,1,中,0,vision
tra-00069,train,tra-2-00361,predicted_lateral_instability,1072.526,1.0,0,0,,1,3.3459,21.4142,13.5931,23.6763,449.2565,3,10.0111,-0.3795,0.3795,1.7421,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.7,0.121947,0.0,0.0,0.7,2,高,1,imu
tra-00070,train,tra-2-00156,severe_acc_change,1775.424,1.0,0,0,,1,1.7218,2.562,2.4155,0.8821,6.26,1,10.012,-8.8634,8.8634,11.9984,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.109241,0.931804,0.0,0.0,0.931804,2,高,1,motion
tra-00071,train,tra-0-00453,visual_path_candidate,1009.546,1.0,0,1,17.2481,1,2.6721,3.2645,0.5212,0.3293,19.94,1,9.5657,-0.1694,0.1694,0.5294,1,0,0,,0.0,0.0,,1,2,1,0.4689,0.0,0.0,,0.9444,0.027462,0.039527,0.0,0.114833,0.114833,0,低,0,vision
tra-00072,train,tra-2-00161,predicted_lateral_instability,13.305,1.0,0,1,4.6532,1,1.5255,12.2767,10.6947,24.0188,184.9704,3,9.823,0.1075,0.1075,2.7437,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.776655,0.192059,0.0,0.0,0.776655,2,高,1,imu
tra-00073,train,tra-2-01047,predicted_lateral_instability,412.371,1.0,0,1,22.7157,1,1.7348,23.5506,16.8526,18.667,597.8355,3,9.6603,0.263,0.263,0.8676,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.836327,0.061367,0.0,0.0,0.836327,2,高,1,imu
tra-00074,train,tra-0-01476,normal_turn,937.183,1.0,1,1,15.5514,1,2.1015,10.9061,4.5264,4.3997,15.09,0,9.7038,0.5691,0.5691,1.7728,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.281616,0.13279,0.0,0.0,0.281616,0,低,0,imu
tra-00075,train,tra-0-01537,normal_turn,1192.361,1.0,0,1,21.4934,1,1.5706,16.007,1.6343,1.2339,66.38,0,9.8191,0.5639,0.5639,2.6616,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.09175,0.186312,0.0,0.0,0.186312,0,低,0,motion
tra-00076,train,tra-0-01875,normal_turn,254.118,1.0,0,1,20.1657,1,2.7503,11.5681,3.2925,2.0007,27.95,1,9.8993,-0.4647,0.4647,0.3576,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.171257,0.10843,0.0,0.0,0.171257,0,低,0,imu
tra-00077,train,tra-1-01128,sustained_outward_lean,1499.063,1.0,0,1,6.0618,1,0.4198,19.582600000000003,16.795,8.8956,432.2279,1,9.6276,0.6623,0.6623,3.173,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.674601,0.22211,0.0,0.0,0.674601,1,中,0,imu
tra-00078,train,tra-2-00035,predicted_lateral_instability,533.697,1.0,0,0,,1,2.9493,14.098799999999999,12.4994,24.8862,527.8874,3,10.0496,-0.531,0.531,1.279,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.7,0.1239,0.0,0.0,0.7,2,高,1,imu
tra-00079,train,tra-0-01047,sensor_gap,55.452,1.0,0,0,,1,2.6899,6.7861,3.283,1.5616,58.33,0,9.5865,-0.7079,0.7079,2.3021,0,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.15863,0.165177,0.0,0.0,0.165177,0,低,0,motion
tra-00080,train,tra-1-00134,sustained_outward_lean,1764.812,1.0,0,1,19.6047,1,1.6023,17.1809,14.7716,7.5398,277.7248,0,10.0364,0.0709,0.0709,2.6275,1,0,0,,0.0,0.0,,1,0,0,0.0,0.0,0.0,,0.0,0.60208,0.183925,0.0,0.0,0.60208,1,中,0,imu
tra-00081,train,tra-1-00357,vision_path_near,205.32,1.0,0,0,,1,1.3581,0.3121,0.5043,0.8103,65.33,1,10.0462,-0.4398,0.4398,2.0414,1,0,0,,0.0,0.0,,1,1,1,0.7243,0.0,0.0,,0.7193,0.040339,0.142898,0.0,0.5405,0.5405,1,中,0,vision
